소스,사업명,주관부처,마감일,상세링크,수집일시
K-Startup,도전창업트랙 2기 [창업실무 기초교육],관악구청,2026-05-25,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177606,2026-07-23 08:02
K-Startup,AI 솔로프러너 프리오픈 참가자 모집,주식회사 유디임팩트,2026-05-25,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177719,2026-07-23 08:02
K-Startup,서대문청년창업센터 기업입주공간 2026년 하반기 입주기업 모집 공고,서대문구청장,2026-05-25,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177568,2026-07-23 08:02
K-Startup,2026년 제8회 과천시 창업아이디어 경진대회,과천시 창업지원센터,2026-05-25,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177604,2026-07-23 08:02
K-Startup,[창업] 실전 마케팅 부트캠프,마포청년창업취업지원센터 나루,2026-05-26,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177617,2026-07-23 08:02
K-Startup,CES 2027 관악S밸리관 참가기업 모집,(재)관악중소벤처진흥원장,2026-05-26,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177608,2026-07-23 08:02
K-Startup,2026 교보생명 오픈이노베이션 1:1 사전밋업 참가기업 모집,서울경제진흥원,2026-05-26,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177763,2026-07-23 08:02
K-Startup,2026년 위치정보 보호조치 교육,(주)아이전스,2026-05-26,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177720,2026-07-23 08:02
K-Startup,5월『찾아가는 기업 고민해결 찐(眞)톡(talk)』,광진경제허브센터장,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177654,2026-07-23 08:02
K-Startup,[현대차정몽구재단] CMK 캠퍼스프러너 1기 모집,"현대차정몽구재단, mysc",2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177621,2026-07-23 08:02
K-Startup,2026년도 화성산업진흥원「글로벌 스타트업 이륙작전」참가기업 모집 공고,(재)화성산업진흥원,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177725,2026-07-23 08:02
K-Startup,"당신의 기술 고민, 전문가와 함께 해결하세요.",서울바이오허브,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177717,2026-07-23 08:02
K-Startup,2026 관악S밸리 성장 지원 세미나,(재)관악중소벤처진흥원,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177546,2026-07-23 08:02
K-Startup,구로구 청년창업지원센터 일반 창업교육(상반기 : 6회차) : 사업계획서 작성 요령,구로구 청년창업지원센터,2026-05-27,https://www.k-startup.go.kr/web/contents/bizpbanc-ongoing.do?schM=view&pbancSn=177679,2026-07-23 08:02
